lagoslakeid,LakeID
836,L2896
4607,L2897
847,L2898
1689,L2899
6806,L2900
82315,L2901
26162,L2902
53374,L2902
4,L2904
445,L2904
38349,L2908
1732,L2909
110137,L2912
3361,L2915
6948,L2916
34380,L2918
2827,L2919
2940,L2921
4572,L2922
4594,L2927
122639,L2928
1312,L2929
3372,L2930
2678,L2932
597,L2934
4418,L2938
4259,L2940
4670,L2941
2525,L2943
2567,L2944
6338,L2946
87591,L2948
3354,L2955
3,L2956
4709,L2960
3183,L2962
49,L2964
5035,L2966
2760,L2968
4185,L2969
4131,L2970
2617,L2971
2603,L2972
406,L2973
2888,L2974
3396,L2975
4225,L2976
832,L2977
5181,L2980
4394,L2982
631,L2984
3227,L2985
1169,L2987
3281,L2988
909,L2989
4285,L2990
577,L2991
6546,L2992
1962,L2994
11496,L2995
109173,L2997
3187,L2999
5072,L3000
25111,L3001
6397,L3002
1782,L3004
5,L3005
1640,L3006
1360,L3007
3729,L3009
2959,L3010
1062,L3011
5421,L3015
128676,L3017
1406,L3018
140,L3019
8,L3020
1796,L3021
63636,L3023
5312,L3024
2320,L3025
33,L3026
1730,L3027
3310,L3028
2108,L3029
5075,L3030
6560,L3032
15557,L3033
3541,L3034
7368,L3036
6501,L3037
7115,L3038
53306,L3039
831,L3040
3350,L3041
23,L3042
38,L3045
2367,L3046
900,L3047
1484,L3050
2502,L3052
35,L3053
1207,L3054
4720,L3055
7131,L3056
4206,L3060
523,L3063
2658,L3068
1714,L3069
105017,L3071
4139,L3077
225,L3078
1525,L3080
1444,L3082
6951,L3083
4393,L3087
2736,L3088
668,L3091
3099,L3092
4649,L3095
40797,L3096
7063,L3097
2373,L3100
14582,L3101
4792,L3103
6488,L3105
2488,L3106
1323,L3107
887,L3109
807,L3110
3761,L3111
949,L3112
7090,L3113
1327,L3114
4868,L3115
1185,L3116
4576,L3117
1482,L3119
4820,L3120
3552,L3121
6529,L3122
6479,L3124
4301,L3127
4874,L3128
6547,L3129
97720,L3130
6519,L3132
2054,L3133
6846,L3134
5052,L3136
4455,L3138
5359,L3139
4091,L3141
959,L3143
4317,L3145
4661,L3146
1202,L3147
4401,L3148
1857,L3150
5403,L3151
5520,L3152
5155,L3163
4578,L3164
4530,L3165
3663,L3166
1446,L3167
3830,L3168
6921,L3172
1641,L3173
4467,L3174
4918,L3175
101981,L3176
1726,L3177
5047,L3178
5459,L3180
5210,L3181
5286,L3184
6543,L3187
837,L3188
1115,L3189
2224,L3192
5143,L3193
1901,L3194
5130,L3196
4126,L3197
135,L3199
827,L3200
4663,L3202
1135,L3205
193,L3206
4559,L3207
966,L3209
245,L3211
1677,L3212
2136,L3215
54437,L3217
357,L3218
52236,L3219
4080,L3221
5371,L3222
4251,L3223
914,L3226
87531,L3227
1655,L3228
6409,L3229
6747,L3230
5287,L3231
4336,L3234
2456,L3235
1275,L3236
6525,L3239
1041,L3242
67721,L3243
6627,L3244
73826,L3245
4889,L3246
1813,L3248
4621,L3254
3719,L3255
822,L3257
8175,L3260
38705,L3261
2894,L3264
7150,L3267
1120,L3268
4631,L3271
8102,L3274
1744,L3275
3083,L3278
2829,L3283
7537,L3284
5183,L3286
3787,L3287
6502,L3288
6936,L3289
4671,L3292
1447,L3293
1614,L3295
2428,L3299
4108,L3300
3246,L3301
2441,L3302
66687,L3303
3926,L3304
4240,L3305
2893,L3308
2746,L3310
3204,L3310
3314,L3312
1832,L3314
5340,L3316
77002,L3318
5027,L3319
4016,L3321
2912,L3326
2410,L3327
812,L3329
7991,L3333
6368,L3336
1026,L3338
3379,L3340
6369,L3341
2786,L3344
6413,L3346
8226,L3348
4930,L3350
4395,L3352
6406,L3355
1705,L3356
3727,L3359
2873,L3360
3311,L3362
4908,L3363
5895,L3366
8108,L3367
325,L3368
5434,L3369
4198,L3370
99,L3371
3016,L3372
4619,L3373
2690,L3374
4882,L3376
6415,L3380
5378,L3383
7599,L3384
5818,L3386
4870,L3387
5232,L3391
3337,L3394
4223,L3396
6371,L3397
6372,L3397
3721,L3398
4156,L3399
938,L3400
4416,L3405
4050,L3406
5040,L3409
4532,L3412
6360,L3416
7400,L3418
5164,L3420
4898,L3421
6953,L3425
116976,L3426
1991,L3427
103205,L3428
2769,L3429
7640,L3430
8247,L3432
7858,L3433
71,L3434
1615,L3435
7584,L3436
5253,L3438
3420,L3439
1282,L3441
7771,L3443
8163,L3445
4555,L3451
7843,L3452
7642,L3453
1995,L3455
5285,L3457
92100,L3458
16159,L3459
2479,L3461
95174,L3462
4809,L3464
1043,L3465
3475,L3467
21113,L3468
4993,L3469
710,L3474
135373,L3475
628,L3476
1401,L3477
2227,L3479
2388,L3480
627,L3481
114627,L3483
6912,L3485
3014,L3486
5191,L3488
2059,L3489
4787,L3490
3198,L3491
4345,L3492
39040,L3493
8096,L3494
2613,L3497
3578,L3498
2676,L3499
3987,L3500
4836,L3501
3302,L3503
3512,L3504
2336,L3505
8839,L3506
50579,L3508
7552,L3512
1527,L3514
1316,L3515
2798,L3518
731,L3519
4379,L3520
209,L3521
3945,L3522
94,L3523
5051,L3524
7675,L3527
332,L3528
858,L3529
1422,L3530
23419,L3531
5338,L3533
4531,L3534
1833,L3535
8182,L3536
5204,L3538
5266,L3539
686,L3540
863,L3540
344,L3542
2844,L3543
2155,L3545
4456,L3546
4210,L3547
7825,L3550
5146,L3551
1697,L3552
97244,L3553
3036,L3554
8317,L3555
111491,L3556
115607,L3557
