"","Lat","Lon","StudyID","UniqueLakeName","optional"
"420",47.69,12.57,"560","L7504",TRUE
"421",47.69,12.59,"560","L7511",TRUE
"422",47.69,12.6,"560","L7515",TRUE
"423",47.7,13.57,"560","L7521",TRUE
"424",47.71,12.62,"560","L7525",TRUE
"425",47.71,13.29,"560","L7532",TRUE
"426",47.74,13.42,"560","L7556",TRUE
"427",47.75,13.5,"560","L7564",TRUE
"428",47.78,13.39,"560","L7584",TRUE
"429",47.86,13.34,"560","L7593",TRUE
"430",47.8,13.28,"560","L7594",TRUE
"431",47.82,12.21,"560","L7606",TRUE
"432",47.83,13.68,"560","L7611",TRUE
"433",47.85,12.57,"560","L7616",TRUE
"434",47.87,13.55,"560","L7628",TRUE
"435",47.87,12.45,"560","L7629",TRUE
"436",47.89,12.46,"560","L7629",TRUE
"437",47.87,13.79,"560","L7630",TRUE
"438",47.87,12.24,"560","L7631",TRUE
"439",47.9,12.35,"560","L7640",TRUE
"440",47.91,13.31,"560","L7646",TRUE
"441",47.92,13.18,"560","L7650",TRUE
"442",47.93,12.37,"560","L7656",TRUE
"443",47.93,12.35,"560","L7657",TRUE
"444",47.97,12.74,"560","L7658",TRUE
"445",47.94,12.77,"560","L7658",TRUE
"446",47.95,12.4,"560","L7659",TRUE
"447",47.95,12.39,"560","L7660",TRUE
"448",47.96,13.09,"560","L7663",TRUE
"449",47.96,12.44,"560","L7664",TRUE
"450",47.97,13.1,"560","L7667",TRUE
"451",47.98,12.43,"560","L7670",TRUE
"452",47.99,12.44,"560","L7673",TRUE
"453",47.99,13.09,"560","L7675",TRUE
"454",48,12.42,"560","L7679",TRUE
"455",48.08,11.97,"560","L7712",TRUE
"456",52.33,12.74,"560","L7922",TRUE
"457",40.15,28.61,"570","L1586",TRUE
"458",41.61,-82.79,"577","L2052",TRUE
"459",61.02,22.28,"582","L8223",TRUE
"460",61.13,24.27,"582","L8226",TRUE
"461",61.25,25.79,"582","L8233",TRUE
"462",62.12,25.78,"582","L8251",TRUE
"463",62.24,25.78,"582","L8251",TRUE
"464",62.63,26.41,"582","L8270",TRUE
"465",66.12,28.65,"582","L8363",TRUE
