uniqueID,LakeVolume,SurfaceArea.units,SurfaceArea.value,Depth.mean,Depth.max,Secchi,pH,LakeName,LakeCountry
V100013831,,,,,,,7.4,Lake Okareka,
V100013832,,,,,,,8.2,Lake Okaro,
V100013833,,,,,,,7.699999809,Lake Okatai,
V100013834,,,,,,,7.5,Lake Rerewhakaaitu,
V100013835,,,,,,,8,Lake Rotoehu,
V100013836,,,,,,,7.6,Lake Rotoiti,
V100013837,,,,,,,7.3,Lake Rotoiti,
V100013838,,,,,,,7,Lake Rotoma,
V100013839,,,,,,,7.6,Lake Rotomaha,
V100013840,,,,,,,7.3,Lake Rotorua,
V100013841,,,,,,,7,Lake Rotorua,
V100013842,,,,,,,8,Lake Tarawera,
V100013843,,,,,,,7.3,Lake Tikitapu,
V100013844,,,,,,,7.7,Lake Okareka,
V100013845,,,,,,,7.366666667,Lake Okaro,
V100013846,,,,,,,7.300000191,Lake Okatai,
V100013847,,,,,,,7,Lake Rerewhakaaitu,
V100013848,,,,,,,7.7,Lake Rotoehu,
V100013849,,,,,,,6.9,Lake Rotoiti,
V100013850,,,,,,,7.1,Lake Rotoiti,
V100013851,,,,,,,7,Lake Rotoma,
V100013852,,,,,,,7.3,Lake Rotomaha,
V100013853,,,,,,,6.4,Lake Rotorua,
V100013854,,,,,,,6.5,Lake Rotorua,
V100013855,,,,,,,7.7,Lake Tarawera,
V100013856,,,,,,,7.1,Lake Tikitapu,
V100013857,,,,,,,7.4,Lake Okareka,
V100013858,,,,,,,7.2,Lake Okaro,
V100013859,,,,,,,,Lake Okatai,
V100013860,,,,,,,7.1,Lake Rerewhakaaitu,
V100013861,,,,,,,,Lake Rotoehu,
V100013862,,,,,,,7.2,Lake Rotoiti,
V100013863,,,,,,,6.7,Lake Rotoiti,
V100013864,,,,,,,7,Lake Rotoma,
V100013865,,,,,,,6.9,Lake Rotomaha,
V100013866,,,,,,,6.6,Lake Rotorua,
V100013867,,,,,,,6.6,Lake Rotorua,
V100013868,,,,,,,7.6,Lake Tarawera,
V100013869,,,,,,,6.8,Lake Tikitapu,
V100013870,,,,,,,7.5,Lake Okareka,
V100013871,,,,,,,7.233333333,Lake Okaro,
