uniqueID,StudyID,Year,Month,Lat,Lon,StudyLakeName,LakeCountry,Hydrolakes,GoogleName,UniqueLakeName,DataType
V100015539,72,2007,2,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015540,72,2008,2,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015541,72,2008,4,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015542,72,2008,10,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015543,72,2009,1,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015544,72,2010,2,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015545,72,2010,9,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015546,72,2010,12,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015547,72,2011,4,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015548,72,2011,8,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015549,72,2011,12,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015550,72,2012,3,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015551,72,2012,7,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015552,72,2012,12,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015553,72,2013,9,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015554,72,2014,5,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015555,72,2014,8,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015556,72,2015,2,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015557,72,2015,3,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015558,72,2015,10,-37.83337186,-71.09999232,Lake Caviahue,Argenti,H1112296,NA,Lake8261,surveyed
V100015692,74,2015,11,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015693,74,2015,12,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015694,74,2016,2,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015695,74,2016,3,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015696,74,2016,4,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015697,74,2016,5,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015698,74,2016,6,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015699,74,2016,7,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015700,74,2016,8,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015701,74,2016,9,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015702,74,2016,10,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015703,74,2016,11,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015704,74,2017,12,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015705,74,2017,2,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015706,74,2017,3,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015707,74,2017,4,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015708,74,2017,5,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015709,74,2017,6,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015710,74,2017,7,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015711,74,2017,9,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015712,74,2017,10,51.3802998,23.0501158,Lake Bikcze,Poland,NA,NA,Lake1372,surveyed
V100015522,78,2002,,53.2976733,-97.9667841,Lake Winnipeg,Canada,NA,NA,Lake1365,surveyed
V100015523,78,2004,,53.2976733,-97.9667841,Lake Winnipeg,Canada,NA,NA,Lake1365,surveyed
V100015524,78,2005,,53.2976733,-97.9667841,Lake Winnipeg,Canada,NA,NA,Lake1365,surveyed
V100015525,78,2011,,53.2976733,-97.9667841,Lake Winnipeg,Canada,NA,NA,Lake1365,surveyed
V100015516,79,2010,5,44.28685255,-81.59333678,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015517,79,2010,5,44.07508002,-81.75865272,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015518,79,2010,8,44.28685255,-81.59333678,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015519,79,2010,8,44.07508002,-81.75865272,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015520,79,2010,9,44.28685255,-81.59333678,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015521,79,2010,9,44.07508002,-81.75865272,Lake Huron,Canada,H0000008,NA,Lake3630,surveyed
V100015514,82,2014,6,37.994539,-85.238457,Taylorsville Lake,USA,NA,G+37.995-085.238,Lake2643,surveyed
V100015515,82,2014,6,39.0251633,-84.1303207,Harsha Lake,USA,H0112388,NA,Lake5479,surveyed
V100015713,89,2010,,31.5484679,117.5730639,Lake Chaohu,China,H0001430,NA,Lake3872,surveyed
V100015714,89,2011,,31.5484679,117.5730639,Lake Chaohu,China,H0001430,NA,Lake3872,surveyed
V100015715,89,2012,,31.5484679,117.5730639,Lake Chaohu,China,H0001430,NA,Lake3872,surveyed
V100015716,89,2013,,31.5484679,117.5730639,Lake Chaohu,China,H0001430,NA,Lake3872,surveyed
V100015717,89,2014,,31.5484679,117.5730639,Lake Chaohu,China,H0001430,NA,Lake3872,surveyed
V100015512,93,2016,10,-26.89472,28.14555,Vaal Damn Reservoir,South Africa,H0001657,NA,Lake3913,surveyed
V100015513,93,2017,3,-26.89472,28.14555,Vaal Damn Reservoir,South Africa,H0001657,NA,Lake3913,surveyed
V100015511,104,2016,,-28.1539822,153.2824011,Little Nerang Dam Reservoir,Australia,NA,NA,Lake1364,surveyed
V100015508,108,2013,8,33.2914101,118.7198004,Hongze Lake,Chi,H0000145,NA,Lake3710,surveyed
V100015509,108,2013,9,33.2914101,118.7198004,Hongze Lake,Chi,H0000145,NA,Lake3710,surveyed
V100015510,108,2013,10,33.2914101,118.7198004,Hongze Lake,Chi,H0000145,NA,Lake3710,surveyed
V100015506,116,2011,,21.49078054,-158.0421361,Wahiawa Reservoir,USA,NA,G_Wahiawa Reservoir+21.501-158.052,Lake2396,surveyed
V100015507,116,2011,,21.49102413,-158.0259553,Wahiawa Reservoir,USA,NA,G_Wahiawa Reservoir+21.501-158.052,Lake2396,surveyed
V100015505,118,,,51.4531971,19.956991,Sulejow Reservoir,Poland,H0013684,NA,Lake4127,surveyed
V100015504,119,2015,10,34.5792366,117.2440957,Weishan Lake,Chi,H0001388,NA,Lake3869,surveyed
V100015503,120,2015,,37.42360974,46.85681044,Sahand Reservoir,Iran,NA,G+37.427+046.764,Lake2631,surveyed
V100015502,122,,2,39.4911674,27.9401546,Ikizcetepeler Reservoir,Turkey,H0172982,NA,Lake5661,surveyed
V100015501,122,,2,39.25729521,28.22476067,?ù®ayg?ù®ren Reservoir,Turkey,H0173056,NA,Lake5662,surveyed
V100015495,127,2015,9,36.011,129.264,AG,South Korea,NA,NA,Lake1362,surveyed
V100015500,127,2015,9,35.517,129.33,SA,South Korea,NA,NA,Lake1363,surveyed
V100015484,127,2013,10,38.103,127.794,PR,South Korea,H0014715,NA,Lake4155,surveyed
V100015486,127,2014,3,38.103,127.794,PR,South Korea,H0014715,NA,Lake4155,surveyed
V100015491,127,2014,10,37.943,127.893,SY,South Korea,H0014726,NA,Lake4156,surveyed
V100015499,127,2015,9,37.509,127.298,PD,South Korea,H0014744,NA,Lake4158,surveyed
V100015496,127,2015,9,36.953,128.046,CJ,South Korea,H0014788,NA,Lake4162,surveyed
